project_id,phase_key,title,description,is_mandatory,area,is_completed,completed_by,completed_at,document_url,notes,id,created_date,updated_date,created_by_id,is_sample
"694bf71afc14a85d9475824f","activation","Equipo y roles: Quién aprueba, quién ejecuta por área, clientes","Quién aprueba, quién ejecuta, responsabilidades claras","true","Criterios Generales","false","","","","","694bf996d427f4dcb2f1d51e","2025-12-24T14:32:54.407000","2025-12-24T14:32:54.407000","anonymous","false"
"694bf71afc14a85d9475824f","activation","Cronograma","Fecha de inicio, hitos principales y entrega final","true","Criterios Generales","false","","","","","694bf996d427f4dcb2f1d51f","2025-12-24T14:32:54.407000","2025-12-24T14:32:54.407000","anonymous","false"
"694bf71afc14a85d9475824f","activation","Contexto y Antecedentes","Contexto del proyecto y antecedentes relevantes","true","Criterios Generales","false","","","","","694bf996d427f4dcb2f1d520","2025-12-24T14:32:54.407000","2025-12-24T14:32:54.407000","anonymous","false"
"694bf71afc14a85d9475824f","activation","Entregables: Listado táctico de qué se va a recibir","Entregables tácticos definidos y documentados","true","Criterios Generales","false","","","","","694bf996d427f4dcb2f1d521","2025-12-24T14:32:54.407000","2025-12-24T14:32:54.407000","anonymous","false"
"694bf71afc14a85d9475824f","activation","Hoja de vida del proyecto","Documento de hoja de vida del proyecto","true","Criterios Generales","false","","","","","694bf996d427f4dcb2f1d522","2025-12-24T14:32:54.407000","2025-12-24T14:32:54.407000","anonymous","false"
"694bf71afc14a85d9475824f","activation","Insumos base","Insumos base recopilados y organizados","true","Criterios Generales","false","","","","","694bf996d427f4dcb2f1d523","2025-12-24T14:32:54.407000","2025-12-24T14:32:54.407000","anonymous","false"
"694bf71afc14a85d9475824f","activation","Brief del Proyecto: Objetivos de negocio y generalidades del proyecto","Objetivos claros y problema que resuelve el proyecto","true","Criterios Generales","false","","","","","694bf996d427f4dcb2f1d51d","2025-12-24T14:32:54.406000","2025-12-24T14:32:54.406000","anonymous","false"
"69446bc5dd9d98944c05127e","design","Criterios de Aceptación","Definición de lo que significa ""terminado""","true","Software y Desarrollo","true","luis.restrepo@antpack.co","2025-12-23T17:30:21.670Z","","","694ad1337e7b32e8d3887c7e","2025-12-23T17:28:19.411000","2025-12-23T17:30:22.027000","6940670cff749d8ea0c5d536","false"
"69446bc5dd9d98944c05127e","design","Keyword Research Inicial","Investigación de palabras clave completada","true","SEO","false","","","","","694ad1337e7b32e8d3887c7f","2025-12-23T17:28:19.411000","2025-12-23T17:28:19.411000","6940670cff749d8ea0c5d536","false"
"69446bc5dd9d98944c05127e","design","Arquitectura de Información","Mapa de navegación y estructura del sitio","true","SEO","false","","","","","694ad1337e7b32e8d3887c80","2025-12-23T17:28:19.411000","2025-12-23T17:28:19.411000","6940670cff749d8ea0c5d536","false"
"69446bc5dd9d98944c05127e","design","Herramientas de Medición","Accesos a Google Search Console y GA4","true","SEO","false","","","","","694ad1337e7b32e8d3887c81","2025-12-23T17:28:19.411000","2025-12-23T17:28:19.411000","6940670cff749d8ea0c5d536","false"
"69446bc5dd9d98944c05127e","design","Benchmarking SEO","Análisis de competencia y mejores prácticas","true","SEO","false","","","","","694ad1337e7b32e8d3887c82","2025-12-23T17:28:19.411000","2025-12-23T17:28:19.411000","6940670cff749d8ea0c5d536","false"
"69446bc5dd9d98944c05127e","design","Definición de Target","Buyer Persona documentado","true","Marketing - Paid","false","","","","","694ad1337e7b32e8d3887c83","2025-12-23T17:28:19.411000","2025-12-23T17:28:19.411000","6940670cff749d8ea0c5d536","false"
"69446bc5dd9d98944c05127e","design","Propuesta de Valor","Propuesta única de valor definida","true","Marketing - Paid","false","","","","","694ad1337e7b32e8d3887c84","2025-12-23T17:28:19.411000","2025-12-23T17:28:19.411000","6940670cff749d8ea0c5d536","false"
"69446bc5dd9d98944c05127e","design","KPIs Definidos","Métricas clave de éxito establecidas","true","Marketing - Paid","false","","","","","694ad1337e7b32e8d3887c85","2025-12-23T17:28:19.411000","2025-12-23T17:28:19.411000","6940670cff749d8ea0c5d536","false"
